emg_key,participant_id,n_mat_step4,n_mat_sim2,n_c3d_step4,n_mat_raw,n_c3d_raw
EMG_12_R_M_biceps_femoris,RD0002,18,18,0,18,0
EMG_12_R_M_biceps_femoris,RD0006,14,14,14,14,14
EMG_12_R_M_biceps_femoris,RD0012,22,22,22,22,22
EMG_12_R_M_biceps_femoris,RD0016,18,18,21,18,21
EMG_12_R_M_biceps_femoris,RD0024,16,16,16,16,16
EMG_12_R_M_biceps_femoris,RD0028,12,12,12,12,12
EMG_12_R_M_biceps_femoris,RD0029,15,15,15,15,15
EMG_12_R_M_biceps_femoris,RD0035,13,13,13,13,13
EMG_12_R_M_biceps_femoris,RD0036,22,22,22,22,22
EMG_12_R_M_biceps_femoris,RD0037,8,8,8,8,8
EMG_12_R_M_biceps_femoris,RD0041,23,23,23,23,23
EMG_12_R_M_biceps_femoris,RD0043,15,15,15,15,15
EMG_12_R_M_biceps_femoris,RD0044,6,6,6,6,6
EMG_12_R_M_biceps_femoris,RD0045,4,4,4,4,4
EMG_12_R_M_biceps_femoris,RD0047,6,6,6,6,6
EMG_12_R_M_biceps_femoris,RD0050,12,12,12,12,12
EMG_12_R_M_biceps_femoris,RD0051,8,8,8,8,8
EMG_12_R_M_biceps_femoris,RD0052,16,16,16,16,16
EMG_12_R_M_biceps_femoris,RD0055,4,4,4,4,4
EMG_12_R_M_biceps_femoris,RD0057,17,17,17,17,17
EMG_12_R_M_biceps_femoris,RD0059,9,9,9,9,9
EMG_12_R_M_biceps_femoris,RD0060,6,6,6,6,6
EMG_12_R_M_biceps_femoris,RD0064,16,16,16,16,16
EMG_12_R_M_biceps_femoris,RD0072,4,4,4,4,4
EMG_12_R_M_biceps_femoris,RD0075,7,7,7,7,7
EMG_12_R_M_biceps_femoris,RD0079,9,9,9,9,9
EMG_12_R_M_biceps_femoris,RD0080,18,18,18,18,18
EMG_12_R_M_biceps_femoris,RD71,4,4,4,4,4
EMG_12_R_M_m_biceps_femoris,RD0002,0,0,4,0,4
EMG_13_R_M_erector_spine,RD0001,17,17,17,17,17
EMG_13_R_M_erector_spine,RD0002,18,18,0,18,0
EMG_13_R_M_erector_spine,RD0006,14,14,14,14,14
EMG_13_R_M_erector_spine,RD0012,22,22,22,22,22
EMG_13_R_M_erector_spine,RD0016,18,18,21,18,21
EMG_13_R_M_erector_spine,RD0024,16,16,16,16,16
EMG_13_R_M_erector_spine,RD0028,12,12,12,12,12
EMG_13_R_M_erector_spine,RD0029,15,15,15,15,15
EMG_13_R_M_erector_spine,RD0035,13,13,13,13,13
EMG_13_R_M_erector_spine,RD0036,22,22,22,22,22
EMG_13_R_M_erector_spine,RD0037,8,8,8,8,8
EMG_13_R_M_erector_spine,RD0041,23,23,23,23,23
EMG_13_R_M_erector_spine,RD0043,15,15,15,15,15
EMG_13_R_M_erector_spine,RD0044,6,6,6,6,6
EMG_13_R_M_erector_spine,RD0045,4,4,4,4,4
EMG_13_R_M_erector_spine,RD0047,6,6,6,6,6
EMG_13_R_M_erector_spine,RD0050,12,12,12,12,12
EMG_13_R_M_erector_spine,RD0051,8,8,8,8,8
EMG_13_R_M_erector_spine,RD0052,16,16,16,16,16
EMG_13_R_M_erector_spine,RD0055,4,4,4,4,4
EMG_13_R_M_erector_spine,RD0057,17,17,17,17,17
EMG_13_R_M_erector_spine,RD0059,9,9,9,9,9
EMG_13_R_M_erector_spine,RD0060,6,6,6,6,6
EMG_13_R_M_erector_spine,RD0064,16,16,16,16,16
EMG_13_R_M_erector_spine,RD0072,4,4,4,4,4
EMG_13_R_M_erector_spine,RD0075,7,7,7,7,7
EMG_13_R_M_erector_spine,RD0079,9,9,9,9,9
EMG_13_R_M_erector_spine,RD0080,18,18,18,18,18
EMG_13_R_M_erector_spine,RD71,4,4,4,4,4
EMG_13_R_M_m_erector_spine,RD0002,0,0,4,0,4
EMG_17_L_M_m_tibialis_anterior,RD0002,0,0,3,0,3
EMG_17_L_M_tibialis_anterior,RD0001,16,16,16,16,16
EMG_17_L_M_tibialis_anterior,RD0002,18,18,0,18,0
EMG_17_L_M_tibialis_anterior,RD0006,15,15,15,15,15
EMG_17_L_M_tibialis_anterior,RD0012,24,24,24,24,24
EMG_17_L_M_tibialis_anterior,RD0016,22,22,22,22,22
EMG_17_L_M_tibialis_anterior,RD0024,15,15,15,15,15
EMG_17_L_M_tibialis_anterior,RD0028,13,13,13,13,13
EMG_17_L_M_tibialis_anterior,RD0029,14,14,14,14,14
EMG_17_L_M_tibialis_anterior,RD0035,14,14,14,14,14
EMG_17_L_M_tibialis_anterior,RD0036,22,22,22,22,22
EMG_17_L_M_tibialis_anterior,RD0037,10,10,10,10,10
EMG_17_L_M_tibialis_anterior,RD0041,25,25,25,25,25
EMG_17_L_M_tibialis_anterior,RD0043,17,17,17,17,17
EMG_17_L_M_tibialis_anterior,RD0044,7,7,7,7,7
EMG_17_L_M_tibialis_anterior,RD0045,4,4,4,4,4
EMG_17_L_M_tibialis_anterior,RD0047,7,7,7,7,7
EMG_17_L_M_tibialis_anterior,RD0050,13,13,13,13,13
EMG_17_L_M_tibialis_anterior,RD0051,11,11,11,11,11
EMG_17_L_M_tibialis_anterior,RD0052,19,19,19,19,19
EMG_17_L_M_tibialis_anterior,RD0055,6,6,6,6,6
EMG_17_L_M_tibialis_anterior,RD0057,17,17,17,17,17
EMG_17_L_M_tibialis_anterior,RD0059,9,9,9,9,9
EMG_17_L_M_tibialis_anterior,RD0060,6,6,6,6,6
EMG_17_L_M_tibialis_anterior,RD0064,16,16,16,16,16
EMG_17_L_M_tibialis_anterior,RD0072,5,5,5,5,5
EMG_17_L_M_tibialis_anterior,RD0075,6,6,6,6,6
EMG_17_L_M_tibialis_anterior,RD0079,9,9,9,9,9
EMG_17_L_M_tibialis_anterior,RD0080,17,17,17,17,17
EMG_17_L_M_tibialis_anterior,RD71,4,4,4,4,4
EMG_18_L_M_m_peroneus_long,RD0002,0,0,3,0,3
EMG_18_L_M_peroneus_long,RD0001,16,16,16,16,16
EMG_18_L_M_peroneus_long,RD0002,18,18,0,18,0
EMG_18_L_M_peroneus_long,RD0006,15,15,15,15,15
EMG_18_L_M_peroneus_long,RD0012,24,24,24,24,24
EMG_18_L_M_peroneus_long,RD0016,22,22,22,22,22
EMG_18_L_M_peroneus_long,RD0024,15,15,15,15,15
