emg_key,participant_id,source,n_cycles,corr_med,lag_med,corr_mean,lag_mean
EMG_01_R_M_tibialis_anterior,RD71,mat_step4,4,0.9640394147515187,0.0,0.9631130711951003,0.0
EMG_01_R_M_tibialis_anterior,RD71,mat_sim2,4,0.9528612401269925,0.0,0.9521055418711254,0.0
EMG_01_R_M_tibialis_anterior,RD71,mat_raw,4,0.6758754895979772,0.0,0.6163132394055293,0.0
EMG_01_R_M_tibialis_anterior,RD71,c3d_step4,4,0.9640394147515312,0.0,0.963113071195117,0.0
EMG_01_R_M_tibialis_anterior,RD71,c3d_raw,4,0.6758754895979772,0.0,0.6163132394055293,0.0
EMG_02_R_M_m_peroneus_long,RD0002,c3d_step4,4,0.924272479483307,0.0,0.9288842039330742,0.0
EMG_02_R_M_m_peroneus_long,RD0002,c3d_raw,4,0.5217329019003438,0.0,0.5416559450975138,0.0
EMG_02_R_M_peroneus_long,RD0001,mat_step4,17,0.9458033926183332,-1.0,0.9220653568731876,-2.764705882352941
EMG_02_R_M_peroneus_long,RD0001,mat_sim2,17,0.8857164230337263,0.0,0.8500402165254362,-2.8823529411764706
EMG_02_R_M_peroneus_long,RD0001,mat_raw,17,0.3318853227671471,0.0,0.3436903632308243,-1.3529411764705883
EMG_02_R_M_peroneus_long,RD0001,c3d_step4,17,0.9458033926183493,-1.0,0.9220653568732062,-2.764705882352941
EMG_02_R_M_peroneus_long,RD0001,c3d_raw,17,0.3318853227671471,0.0,0.3436903632308243,-1.3529411764705883
EMG_02_R_M_peroneus_long,RD0002,mat_step4,18,0.9550905925788131,0.0,0.9354225700662059,0.0
EMG_02_R_M_peroneus_long,RD0002,mat_sim2,18,0.8954694489387114,0.0,0.8730888605649939,0.05555555555555555
EMG_02_R_M_peroneus_long,RD0002,mat_raw,18,0.3505673612573168,0.5,0.3693729674314805,1.6666666666666667
EMG_02_R_M_peroneus_long,RD0006,mat_step4,14,0.9139319465678689,0.0,0.9029155842750276,0.07142857142857142
EMG_02_R_M_peroneus_long,RD0006,mat_sim2,14,0.8451011459806002,0.0,0.8327436215608814,-0.07142857142857142
EMG_02_R_M_peroneus_long,RD0006,mat_raw,14,0.28615430530958275,0.0,0.31934416892228606,1.3571428571428572
EMG_02_R_M_peroneus_long,RD0006,c3d_step4,14,0.9139319465678695,0.0,0.9029155842750294,0.07142857142857142
EMG_02_R_M_peroneus_long,RD0006,c3d_raw,14,0.28615430530958275,0.0,0.31934416892228606,1.3571428571428572
EMG_02_R_M_peroneus_long,RD0012,mat_step4,22,0.8556465651970004,0.0,0.8430328733194414,1.2727272727272727
EMG_02_R_M_peroneus_long,RD0012,mat_sim2,22,0.7607075825407763,0.0,0.7504949783828948,-0.13636363636363635
EMG_02_R_M_peroneus_long,RD0012,mat_raw,22,0.3274338215506438,0.0,0.33670950422132506,-2.409090909090909
EMG_02_R_M_peroneus_long,RD0012,c3d_step4,22,0.8556465651970285,0.0,0.8430328733194518,1.2727272727272727
EMG_02_R_M_peroneus_long,RD0012,c3d_raw,22,0.3274338215506438,0.0,0.33670950422132506,-2.409090909090909
EMG_02_R_M_peroneus_long,RD0016,mat_step4,18,0.9724628144760018,0.0,0.96902261619962,0.0
EMG_02_R_M_peroneus_long,RD0016,mat_sim2,18,0.9231499432754031,0.0,0.9122235754752861,-0.16666666666666666
EMG_02_R_M_peroneus_long,RD0016,mat_raw,18,0.3543006020478481,0.0,0.3615649827759233,-0.6111111111111112
EMG_02_R_M_peroneus_long,RD0016,c3d_step4,21,0.9679183366492151,0.0,0.9639115308096939,-0.047619047619047616
EMG_02_R_M_peroneus_long,RD0016,c3d_raw,21,0.3492521697114804,0.0,0.36176022126190593,-1.2380952380952381
EMG_02_R_M_peroneus_long,RD0024,mat_step4,16,0.8281114798343789,0.0,0.7679124745942889,5.625
EMG_02_R_M_peroneus_long,RD0024,mat_sim2,16,0.7194623987707579,0.0,0.6623378764678101,5.875
EMG_02_R_M_peroneus_long,RD0024,mat_raw,16,0.26043234056718634,0.0,0.28132839602269644,10.25
EMG_02_R_M_peroneus_long,RD0024,c3d_step4,16,0.8281114798343794,0.0,0.7679124745943231,5.625
EMG_02_R_M_peroneus_long,RD0024,c3d_raw,16,0.26043234056718634,0.0,0.28132839602269644,10.25
EMG_02_R_M_peroneus_long,RD0028,mat_step4,12,0.9508596915392513,0.0,0.9439488041960638,0.0
EMG_02_R_M_peroneus_long,RD0028,mat_sim2,12,0.925998252895256,0.0,0.9181317365436511,-0.16666666666666666
EMG_02_R_M_peroneus_long,RD0028,mat_raw,12,0.33526023619437306,0.0,0.360872942462918,1.8333333333333333
EMG_02_R_M_peroneus_long,RD0028,c3d_step4,12,0.95085969153926,0.0,0.9439488041960642,0.0
EMG_02_R_M_peroneus_long,RD0028,c3d_raw,12,0.33526023619437306,0.0,0.360872942462918,1.8333333333333333
EMG_02_R_M_peroneus_long,RD0029,mat_step4,15,0.9756415998904087,0.0,0.9681247309598044,0.2
EMG_02_R_M_peroneus_long,RD0029,mat_sim2,15,0.9340798583893015,0.0,0.9254595844695878,0.2
EMG_02_R_M_peroneus_long,RD0029,mat_raw,15,0.3213321953182201,0.0,0.34706041897251133,0.8
EMG_02_R_M_peroneus_long,RD0029,c3d_step4,15,0.9756415998904139,0.0,0.9681247309598114,0.2
EMG_02_R_M_peroneus_long,RD0029,c3d_raw,15,0.3213321953182201,0.0,0.34706041897251133,0.8
EMG_02_R_M_peroneus_long,RD0035,mat_step4,13,0.9416874346286079,0.0,0.9295724553431668,-0.3076923076923077
EMG_02_R_M_peroneus_long,RD0035,mat_sim2,13,0.8967217174010357,0.0,0.8793685486253442,-0.23076923076923078
EMG_02_R_M_peroneus_long,RD0035,mat_raw,13,0.3524802700984136,1.0,0.36332547257784625,2.5384615384615383
EMG_02_R_M_peroneus_long,RD0035,c3d_step4,13,0.9416874346286154,0.0,0.9295724553431843,-0.3076923076923077
